ID,Goal Area,Subsection,Task,Priority,Owner,Status,Notes,Original Sheet Status,Coordinator Status,Proof Level,Proof Notes,Remaining Blocker,Last Reviewed
39,4. Core Academic Scheduling,Core Assignment,View conference notes,Future,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
40,4. Core Academic Scheduling,Core Assignment,Override placement recommendations,Future,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
41,5. Enrichment Discovery,Parent Browsing,Browse by interest,Future,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
42,6. Enrichment Requests,Request Statuses,Status: Expired,Future,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
43,7. Admin Enrichment Approval,Approval Actions,Add suggested alternatives,Future,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
44,15. Future Enhancements,Future Enhancement,Advanced pathway analytics,Future,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
45,15. Future Enhancements,Future Enhancement,Automated recommendation engine,Future,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
46,15. Future Enhancements,Future Enhancement,Teacher load balancing,Future,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
47,15. Future Enhancements,Future Enhancement,Parent messaging center,Future,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
48,15. Future Enhancements,Future Enhancement,Historical progress dashboards,Future,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
49,2. Class Management,Class Creation,Indicate prerequisite knowledge,Build Next,,Not Started,For enreichment only for what classes a parent can see for their child. So they don’t see everything,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
50,2. Class Management,Class Creation,Connect class to a course series / pathway,Build Next,,Not Started,For enreichment only for what classes a parent can see for their child. So they don’t see everything,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
51,5. Enrichment Discovery,Course Suggestions,Suggest enrichment classes based on student interests,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
52,5. Enrichment Discovery,Course Suggestions,Suggest classes based on historical coursework,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
53,5. Enrichment Discovery,Course Suggestions,Suggest next-level classes in a series,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
54,5. Enrichment Discovery,Course Suggestions,Identify possible student pathways,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
55,5. Enrichment Discovery,Course Suggestions,"Suggestions remain advisory, not automatic placements",Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
56,10. Social Safeguards,Human Review Support,View full class makeup before approval,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
57,10. Social Safeguards,Human Review Support,View approved and pending students together,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
58,10. Social Safeguards,Human Review Support,Flag student pairing concerns,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
59,10. Social Safeguards,Human Review Support,Add private admin notes,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
60,10. Social Safeguards,Human Review Support,Review class balance before approval,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
61,10. Social Safeguards,Human Review Support,System does not automatically approve based on algorithm,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
62,10. Social Safeguards,Human Review Support,Final approval remains a human decision,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
63,11. Student Profile & Portfolio,Student Profile,Profile stores student interests,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
64,11. Student Profile & Portfolio,Student Profile,Profile stores skills,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
65,11. Student Profile & Portfolio,Student Profile,Profile stores course history,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
66,11. Student Profile & Portfolio,Student Profile,Profile stores pathway recommendations,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
67,11. Student Profile & Portfolio,Student Profile,Profile stores assessment / conference notes,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
68,11. Student Profile & Portfolio,Student Profile,Profile connects to current schedule,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
69,11. Student Profile & Portfolio,Student Profile,Profile connects to historical schedules,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
70,11. Student Profile & Portfolio,Portfolio,Admin can view portfolio by year,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
71,11. Student Profile & Portfolio,Portfolio,Parent can view portfolio by year,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
72,11. Student Profile & Portfolio,Portfolio,Admin can print portfolio,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
73,11. Student Profile & Portfolio,Portfolio,Parent can print portfolio,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
74,11. Student Profile & Portfolio,Portfolio,Portfolio stores historical learning records,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
75,11. Student Profile & Portfolio,Portfolio,Portfolio connects coursework to student growth / pathway,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
76,12. Parent Schedule View,Parent Dashboard,View and print portfolio,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
77,13. Notifications,Parent Notifications,Notify: request submitted,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Notification write paths coded; production notification smoke/browser proof still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
78,13. Notifications,Parent Notifications,Notify: request approved,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Notification write paths coded; production notification smoke/browser proof still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
79,13. Notifications,Parent Notifications,Notify: request rejected,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Notification write paths coded; production notification smoke/browser proof still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
80,13. Notifications,Parent Notifications,Notify: request waitlisted,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Notification write paths coded; production notification smoke/browser proof still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
81,13. Notifications,Parent Notifications,Notify: schedule finalized,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Notification write paths coded; production notification smoke/browser proof still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
82,13. Notifications,Parent Notifications,Notify: action needed for incomplete schedule,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Notification write paths coded; production notification smoke/browser proof still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
83,13. Notifications,Admin Notifications,Notify: new enrichment request submitted,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Notification write paths coded; production notification smoke/browser proof still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
84,13. Notifications,Admin Notifications,Notify: class reaches capacity,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Notification write paths coded; production notification smoke/browser proof still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
85,13. Notifications,Admin Notifications,Notify: student has incomplete schedule,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Notification write paths coded; production notification smoke/browser proof still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
86,13. Notifications,Admin Notifications,Notify: conflict detected,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Notification write paths coded; production notification smoke/browser proof still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
87,13. Notifications,Admin Notifications,Notify: waitlist created,Build Next,,Not Started,,Not Started,Needs Attention,coded/evidence indicated; proof incomplete,Notification write paths coded; production notification smoke/browser proof still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
88,1. User Roles & Permissions,Admin / Microschool Leader,"Admin can create, edit, archive, activate, and deactivate classes",Must Build First,,Needs Attention,"Option to activate, and deactivate classes at anytime or hide",Needs Attention,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass.",,2026-06-18
89,1. User Roles & Permissions,Admin / Microschool Leader,Admin can finalize schedules,Must Build First,,Needs Attention,"Easy to approve, but we should consider a way to do a ""finalized and posted"" for last min checks and conflict checks",Needs Attention,Needs Attention,coded/evidence indicated; proof incomplete,Schedule finalization coded; browser/owner review still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
90,1. User Roles & Permissions,Admin / Microschool Leader,Admin can edit student profile,Must Build First,,Needs Attention,"Information regarding parents, parent contact is missing from student profile view. Issue saving edit parent contact details",Needs Attention,Needs Attention,coded/evidence indicated; proof incomplete,"Local ledger says no known UAT row remains completely unimplemented, but this row lacks row-specific acceptance proof in the coordinator ledger.",Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
91,2. Class Management,Class Creation,Create a new class,Must Build First,,Needs Attention,"For Core classes: we need additional fields; Teacher, Terms/Quarters (This is important cause that field ties to other schedule views) These you may want the ability to select multiple; For example allow the ability to select multiple days of week. Name the days of the week the accual day of the week (M,T,W,TH,F) ",Needs Attention,Needs Attention,coded/evidence indicated; proof incomplete,Class fields/lifecycle coded; browser/owner review still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
92,2. Class Management,Class Creation,Assign teacher,Must Build First,,Needs Attention,,Needs Attention,Needs Attention,coded/evidence indicated; proof incomplete,Class fields/lifecycle coded; browser/owner review still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
93,2. Class Management,Class Creation,Assign room / location,Must Build First,,Needs Attention,,Needs Attention,Needs Attention,coded/evidence indicated; proof incomplete,Class fields/lifecycle coded; browser/owner review still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
94,2. Class Management,Class Creation,Set age limits,Must Build First,,Needs Attention,Only needed for Enrichment,Needs Attention,Needs Attention,coded/evidence indicated; proof incomplete,Class fields/lifecycle coded; browser/owner review still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
95,2. Class Management,Class Creation,Set dates / term,Must Build First,,Needs Attention,,Needs Attention,Done,coded + locally tested + deployed smoke,"Ledger recommendation was Done after deployment proof; current repo history records merged main, Vercel Ready, and production smoke after the coordinator pass. Class fields/lifecycle coded; browser/owner review still needed.",,2026-06-18
96,2. Class Management,Class Editing,Edit teacher,Must Build First,,Needs Attention,Drop Down list of all teachers to select,Needs Attention,Needs Attention,coded/evidence indicated; proof incomplete,Class fields/lifecycle coded; browser/owner review still needed.,Requires row-specific browser/live/owner UAT proof before Done.,2026-06-18
